category,ssd-train-vgg-gpu,ssd-eval-vgg-cpu-medium
runtime,188.56600785255432,231.1612241268158
llc_references,23064499.494015235,92338515.96631207
llc_misses,3295003.7214363436,4078580.478723404
instructions,413714331.7192601,4540315865.616135
cycles,560359038.1284004,3807848216.4627657
gpu_core_util,457.829162132753,372.1586879432624
gpu_core_freq,6500.0,6500.0
gpu_emc_util,126.65397170837866,103.9982269503546
gpu_emc_freq,9330.0,9330.0
