category,ntail-xapian,facesim
runtime,52.380215883255005,135.13776087760925
llc_references,35312672.19917013,14943832.119437939
llc_misses,11198950.248962656,10655293.302107729
instructions,3959805449.937759,1524623904.648712
cycles,2625735304.792531,1405431220.4918032
stall_cycles,793823484.2116183,811072487.8922718
intra_coh,45430.186721991704,242685.97189695548
inter_coh,131.14107883817428,0.2224824355971897
wall_cycles,2108250352.8630707,3237547702.107728
llc_size,114939538.58921161,10755117.56440281
local_mem,22250967.63485477,783089970.9601873
remote_mem,2573851.6182572613,9704546.323185012
