category,ssd-eval-vgg-gpu-large,ssd-train-vgg-gpu
runtime,596.4847085475922,599.8522546291351
llc_references,14204419.212625736,12716540.642735044
llc_misses,1050829.1033645507,1841525.458119658
instructions,95797593.42698577,268953090.1247863
cycles,304736394.56295526,298496932.9162393
gpu_core_util,479.1519250780437,478.0581196581197
gpu_core_freq,6500.0,6500.0
gpu_emc_util,102.72806104751994,102.76410256410257
gpu_emc_freq,9330.0,9330.0
