category,ntail-img-dnn,facesim
runtime,76.12055468559265,140.90378212928772
llc_references,161935981.8487395,108078158.82570162
llc_misses,9409075.350140056,32959357.887740027
instructions,4476899856.862745,16262926021.610046
cycles,2229178084.3137255,6781319265.457902
stall_cycles,359767601.9887955,1316394099.2762187
intra_coh,273606.8487394958,1658270.7016248154
inter_coh,95.58823529411765,0.8936484490398819
wall_cycles,2105961057.2268906,2137233773.677991
llc_size,79179236.75070028,136691929.80797637
local_mem,7748668.2352941185,1253159644.0768094
remote_mem,238646.49859943977,4330506.58788774
