category,SparkDSLRGpu
runtime,34.46941375732422
r016,162124455.61764705
r013,1319748340.4705882
instructions,3020509470.4117646
cycles,5365987524.264706
gr3d,0.0
gr3d_freq,1300.0
emc,2.8529411764705883
emc_freq,1866.0
