category,ntail-masstree,CG
runtime,32.03008580207825,95.24309921264648
llc_references,7928719.208633094,794849523.8021979
llc_misses,3045904.7841726616,149953696.3076923
instructions,391453519.2805755,7489766011.098901
cycles,767453163.6690648,16218438950.483517
stall_cycles,432346331.294964,11589195659.648352
intra_coh,1254094.6762589929,360679.89010989014
inter_coh,32.877697841726615,0.06593406593406594
wall_cycles,2114316485.6834533,2104475597.868132
llc_size,28722684.316546764,200417009.93406594
local_mem,2018593666.76259,10368680296.087912
remote_mem,11697468.776978418,15390877.538461538
