category,ntail-img-dnn,ssd-train-vgg-gpu
runtime,38.34416484832764,48.36714434623718
llc_references,220200376.25748503,20451781.58371041
llc_misses,48007779.55089821,3804528.5746606337
instructions,2064011252.9041915,323352742.1945702
cycles,3821961432.185629,671470610.7466063
gpu_core_util,281.2874251497006,323.8009049773756
gpu_core_freq,2249.491017964072,3255.79185520362
gpu_emc_util,51.64670658682635,67.28506787330316
gpu_emc_freq,9330.0,9330.0
