category,swaptions,ntail-img-dnn
runtime,41.334643840789795,77.3568127155304
llc_references,7305024.396984924,161435793.2872928
llc_misses,146918.8944723618,9308255.096685084
instructions,36401685325.201004,4474162009.972376
cycles,15962047252.738693,2210069274.502763
stall_cycles,1826091255.351759,315754935.0552486
intra_coh,3155925.8040201007,253346.36740331491
inter_coh,0.07537688442211055,58.812154696132595
wall_cycles,2109838042.8140702,2105065231.353591
llc_size,7014657.286432161,74447628.72928177
local_mem,54338.894472361804,227203.5359116022
remote_mem,41165.82914572864,405526.62983425416
