category,kmeans,ntail-xapian
runtime,41.25509691238403,52.38135862350464
llc_references,163115602.75510204,35494341.20833333
llc_misses,18744952.270408165,11361285.4375
instructions,13615445998.316326,3951765454.0625
cycles,8966041569.107143,2629653979.9375
stall_cycles,3291806736.811224,802073627.2083333
intra_coh,111580849.79591838,42108.52083333333
inter_coh,1.760204081632653,49.58333333333333
wall_cycles,2108365475.1530612,2107722986.5416667
llc_size,103379696.3265306,93048832.0
local_mem,1478769684.8979592,545633621.3333334
remote_mem,1808927.3469387754,2463061.3333333335
