category,ssd-eval-vgg-gpu-original,ssd-train-vgg-cpu
runtime,106.67408919334412,207.71841740608215
llc_references,56853458.2364341,75667849.0581854
llc_misses,3368014.1279069763,3907593.846153846
instructions,832736115.9399225,4909647563.3284025
cycles,1371382676.734496,3966014127.687377
gpu_core_util,155.12596899224806,80.78895463510848
gpu_core_freq,6500.0,6500.0
gpu_emc_util,31.492248062015502,17.090729783037474
gpu_emc_freq,9330.0,9330.0
