category,vips,ntail-xapian
runtime,16.419689178466797,51.33457636833191
llc_references,121784296.75675675,35281179.10638298
llc_misses,35850770.472972974,11221456.936170213
instructions,48700085055.87838,3950331691.8936167
cycles,15975742878.851353,2667371030.6595745
stall_cycles,689093692.2297298,839723699.8085107
intra_coh,1367404.4594594594,43193.78723404255
inter_coh,24.054054054054053,68.85106382978724
wall_cycles,2124681571.0135136,2107634618.4255319
llc_size,32511169.729729727,188328153.87234044
local_mem,320993556.7567568,1419235066.5531917
remote_mem,2506309.189189189,5541277.957446808
