category,ntail-xapian,cfd
runtime,52.00349497795105,63.28178262710571
llc_references,35380816.49159664,89770183.75816993
llc_misses,11517968.00420168,26295455.310457516
instructions,3954982040.9873953,30572285180.490196
cycles,2718647124.159664,15659545278.169935
stall_cycles,890625568.4243697,2547977568.611111
intra_coh,45568.29831932773,991309.0196078431
inter_coh,43.15126050420168,0.06535947712418301
wall_cycles,2109402713.0882354,2105129322.5653596
llc_size,87680559.3277311,128093967.05882354
local_mem,2658635810.420168,2066826608.1045752
remote_mem,7997870.25210084,5013718.169934641
