category,bfs,ntail-img-dnn
runtime,40.03551149368286,76.96131348609924
llc_references,7823856.333333333,161764542.38227147
llc_misses,3449566.222222222,9454312.271468144
instructions,5404816561.444445,4478272356.772853
cycles,2383180966.416667,2213077311.5512466
stall_cycles,503670540.4166666,324508368.7257618
intra_coh,604742.0833333334,435097.13296398893
inter_coh,0.9166666666666666,72.77008310249307
wall_cycles,2107743043.3055556,2104149027.9501386
llc_size,97661383.1111111,105625514.90304708
local_mem,344895943.11111104,32489335.844875347
remote_mem,924785.7777777779,250525.42936288088
