category,facesim
runtime,77.81082201004028
llc_references,187387746.2630208
llc_misses,28179472.643229164
instructions,28746729504.53125
cycles,11658021685.260418
stall_cycles,2047597866.2109375
intra_coh,3354938.7890625
inter_coh,2.5
wall_cycles,2103333544.6354165
llc_size,191546880.0
local_mem,1379245226.6666665
remote_mem,5911893.333333334
