category,SparkGPULRGpu
runtime,33.435827016830444
r016,139761089.6060606
r013,1044771772.5454545
instructions,2451134892.242424
cycles,3757781745.818182
gr3d,0.0
gr3d_freq,1300.0
emc,1.7878787878787878
emc_freq,1866.0
