category,ntail-img-dnn,ntail-sphinx
runtime,41.29863953590393,47.74232792854309
llc_references,190096169.85465115,78672604.36224489
llc_misses,45852510.72674419,26921500.35714286
instructions,1787969435.639535,1195674401.377551
cycles,3705006867.2965117,3815003646.8877554
gpu_core_util,0.6395348837209303,0.4846938775510204
gpu_core_freq,6500.0,6500.0
gpu_emc_util,52.06395348837209,49.23469387755102
gpu_emc_freq,9330.0,9330.0
