category,SparkDSLRGpu
runtime,41.43385291099548
r016,85283371.12195122
r013,676545706.5609756
instructions,1611816541.9756098
cycles,2631137050.1463413
gr3d,0.0
gr3d_freq,1300.0
emc,1.4146341463414633
emc_freq,1866.0
