category,MG,ntail-masstree
runtime,19.049736499786377,32.050708532333374
llc_references,477654483.9411765,8455462.733812949
llc_misses,364071789.0,2824170.4676258992
instructions,32460247159.29412,403836719.24460435
cycles,14969283552.11765,845662195.6115108
stall_cycles,2798897076.4705887,496569415.2158273
intra_coh,204146.11764705883,1607782.1942446043
inter_coh,0.058823529411764705,44.856115107913666
wall_cycles,2123748138.0588236,2115084511.258993
llc_size,192914853.64705884,85703643.16546762
local_mem,31632611930.35294,1152931471.6546762
remote_mem,60424192.0,35127767.48201439
