category,bodytrack
runtime,29.772745847702026
llc_references,126005055.79861112
llc_misses,2225493.8194444445
instructions,25602529519.40972
cycles,11366005260.79861
stall_cycles,1090477283.6805556
intra_coh,7373116.840277778
inter_coh,0.2777777777777778
wall_cycles,2108754175.9375
llc_size,156988302.2222222
local_mem,58358897.777777776
remote_mem,967111.1111111111
