category,ssd-eval-vgg-gpu-small,ssd-train-vgg-cpu
runtime,67.68528962135315,250.21491813659668
llc_references,44131976.26153846,62837369.093519285
llc_misses,3904847.6923076925,3254625.8736669403
instructions,461513176.8923077,4042383498.3182936
cycles,1004461027.4923077,3262869279.265792
gpu_core_util,281.3538461538462,71.75143560295324
gpu_core_freq,6500.0,6500.0
gpu_emc_util,51.153846153846146,15.077932731747335
gpu_emc_freq,9330.0,9330.0
