category,GpuKMeansGpu,GpuKMeansBatchGpu
runtime,54.49150824546814,58.34390997886658
llc_references,105766164.57407407,115689651.86206897
llc_misses,814228464.1481482,835439199.0862069
instructions,1879046320.5,1913892911.0689654
cycles,3689668523.2777777,3692499944.2413793
gpu_core_util,2.0185185185185186,1.9655172413793103
gpu_core_freq,1122.0,1122.0
gpu_emc_util,5.962962962962963,5.948275862068965
gpu_emc_freq,1600.0,1600.0
