category,ntail-moses,ferret
runtime,75.92555809020996,118.194091796875
llc_references,26343070.027932964,67146294.28063942
llc_misses,15096150.502793295,26150561.012433395
instructions,1050396720.3631284,13121751844.18295
cycles,814575359.3715084,8986197093.676731
stall_cycles,362937531.85754186,2645591329.724689
intra_coh,555123.4497206704,55599.55595026643
inter_coh,46.1731843575419,0.17761989342806395
wall_cycles,2105054872.9050279,2147564014.6181173
llc_size,189584847.37430167,90104433.6767318
local_mem,906610928.2681565,477689925.11545295
remote_mem,15146504.581005588,9011491.012433393
