category,GpuKMeansGpu
runtime,48.453189849853516
r016,96591687.85416667
r013,778298142.625
instructions,1839206799.6875
cycles,2986693483.5833335
gr3d,1.2916666666666667
gr3d_freq,1300.0
emc,1.9375
emc_freq,1866.0
