category,SparkDSLRCpu,GpuKMeansGpu
runtime,36.104100942611694,67.66071844100952
llc_references,108747903.28488372,89425763.4158416
llc_misses,877786833.1686046,707292718.1023103
instructions,2019462925.9011629,1629280698.1848187
cycles,3654474728.2558136,2913610904.752475
gpu_core_util,0.9883720930232558,2.046204620462046
gpu_core_freq,2645.7848837209303,3928.8448844884488
gpu_emc_util,19.186046511627907,15.561056105610561
gpu_emc_freq,8000.0,8000.0
