category,GpuKMeansGpu
runtime,45.515602350234985
r016,122532998.02222222
r013,999656653.0666667
instructions,2316602422.4444447
cycles,3880871674.422222
gr3d,0.0
gr3d_freq,1300.0
emc,2.0
emc_freq,1866.0
