category,ntail-masstree,streamcluster
runtime,31.94955015182495,108.38423228263855
llc_references,8158499.028776978,217748186.00389865
llc_misses,1620807.5899280575,163791552.39766082
instructions,399668921.65467626,9562950974.892788
cycles,758356446.151079,12716341363.635479
stall_cycles,418182161.5107913,7997880107.768031
intra_coh,1351725.6115107914,11659633.50877193
inter_coh,67.55395683453237,0.37037037037037035
wall_cycles,2114234009.7482014,2150200707.017544
llc_size,153252871.3669065,168318293.3333333
local_mem,247966535.82733813,10231004449.434698
remote_mem,836880.5755395684,13125723.820662769
