category,kmeans
runtime,45.72533059120178
llc_references,148154324.12556055
llc_misses,16471479.730941705
instructions,11984561267.825111
cycles,8017218934.686098
stall_cycles,2992514493.161435
intra_coh,101699882.9147982
inter_coh,0.22421524663677128
wall_cycles,2103866790.426009
llc_size,177025079.103139
local_mem,1139042129.5067265
remote_mem,2115960.538116592
