category,ntail-xapian,fluidanimate
runtime,51.75264239311218,70.3441367149353
llc_references,35418290.37974684,68027721.17910448
llc_misses,11502299.071729958,48665563.08955224
instructions,3956043980.210971,26649630052.850746
cycles,2682389622.9535866,15363944747.492538
stall_cycles,853476039.1772152,3621733414.2089553
intra_coh,46065.3164556962,4291096.611940298
inter_coh,44.81012658227848,0.029850746268656716
wall_cycles,2107156077.341772,2105244522.3880599
llc_size,93827089.28270042,141642858.98507464
local_mem,1515636139.7468355,4749268716.895522
remote_mem,8953821.434599157,26107781.731343284
