category,ntail-sphinx,swaptions
runtime,30.54931879043579,41.59150695800781
llc_references,255595145.54263565,5934070.699999999
llc_misses,47811455.07751938,126790.1
instructions,11143474537.984495,36169380513.575
cycles,11087864974.534883,15802431865.425
stall_cycles,4853503723.333333,1783501253.8249998
intra_coh,10387.131782945737,2893809.925
inter_coh,2.2093023255813953,0.075
wall_cycles,2115602358.4883718,2109717020.6
llc_size,205805901.39534885,4816896.0
local_mem,1476460035.9689922,6062080.0
remote_mem,7798275.968992248,4892262.4
