category,ntail-moses
runtime,75.90064239501953
llc_references,26476999.189944133
llc_misses,15414536.2849162
instructions,1086801231.9692736
cycles,844869952.6955307
stall_cycles,373933691.0614525
intra_coh,550155.2932960894
inter_coh,53.00279329608938
wall_cycles,2103142323.8128493
llc_size,205152393.2960894
local_mem,1202978266.8156424
remote_mem,13383622.79329609
