category,ntail-img-dnn,ssd-train-vgg-cpu
runtime,39.15411186218262,78.59311652183533
llc_references,220531434.09356725,101854610.625
llc_misses,47768332.923976615,6258469.015957447
instructions,2062661656.25731,4437236714.148936
cycles,3739536285.2923975,3713538137.7127657
gpu_core_util,1.3742690058479532,1.2632978723404256
gpu_core_freq,6500.0,6500.0
gpu_emc_util,40.76023391812866,20.89095744680851
gpu_emc_freq,9330.0,9330.0
