category,GpuKMeansBatchGpu
runtime,188.85848379135132
r016,41612477.87165775
r013,334029551.22459894
instructions,760538747.8609625
cycles,953518642.6577541
gr3d,0.026737967914438502
gr3d_freq,1300.0
emc,0.5240641711229946
emc_freq,1866.0
