category,ntail-sphinx,UA
runtime,32.89565968513489,169.9385974407196
llc_references,258511707.94326243,269305210.5637255
llc_misses,50631820.70921986,180746576.12132353
instructions,11224860941.950356,23554833125.018383
cycles,12437031076.666668,16622851896.06005
stall_cycles,6108673115.248227,6168260309.093137
intra_coh,12418.86524822695,362957.3835784314
inter_coh,3.0851063829787235,0.0428921568627451
wall_cycles,2115443462.0921988,2131759265.122549
llc_size,195931724.25531918,177361217.25490198
local_mem,3025532187.234042,19753526613.333332
remote_mem,12807407.659574468,63088037.64705882
