category,UA
runtime,165.52960801124573
llc_references,266690678.63581
llc_misses,185848941.19975638
instructions,23753599631.62607
cycles,15939495318.355663
stall_cycles,5504004943.380024
intra_coh,344989.1961023142
inter_coh,0.024360535931790498
wall_cycles,2102001072.3934226
llc_size,208767681.94884288
local_mem,17334420872.886726
remote_mem,82119960.63337393
