category,ssd-eval-vgg-gpu-medium,ssd-train-vgg-cpu
runtime,95.62710523605347,401.38328528404236
llc_references,62819692.04989154,76809593.23979592
llc_misses,3778180.7809110633,3787018.9846938774
instructions,484111646.1279827,4967397938.227041
cycles,1286355087.2451193,3999717157.780612
gpu_core_util,183.22125813449023,44.30102040816327
gpu_core_freq,6500.0,6500.0
gpu_emc_util,32.960954446854664,9.5
gpu_emc_freq,9330.0,9330.0
