category,ntail-img-dnn,swaptions
runtime,75.66214108467102,86.22851228713989
llc_references,161896208.8983051,7522292.172236504
llc_misses,9331733.121468926,750957.853470437
instructions,4478181976.172317,18622350298.8946
cycles,2248400033.9265537,8297042353.161954
stall_cycles,359020115.2542373,1044441768.5604113
intra_coh,324601.0169491526,4419508.508997429
inter_coh,102.07627118644068,0.7712082262210797
wall_cycles,2105276122.019774,2287939514.858612
llc_size,78642274.35028249,6744816.863753214
local_mem,2501105.536723164,7192955.064267352
remote_mem,2134548.2485875706,16847.300771208225
