category,bfs,ntail-moses
runtime,60.33958029747009,75.94363808631897
llc_references,124940.96428571429,26524963.310055867
llc_misses,66419.17857142858,15596933.43575419
instructions,3280729611.9107146,1058773474.4134079
cycles,1219768222.75,824305301.2290503
stall_cycles,122630995.125,367342611.1452514
intra_coh,1.3928571428571428,578475.4888268156
inter_coh,1.8035714285714286,46.703910614525135
wall_cycles,2189801450.035714,2105696120.558659
llc_size,2947949.7142857146,203109427.4860335
local_mem,64844361.14285714,1509133901.2290502
remote_mem,431835.4285714286,14234858.547486033
