category,ntail-img-dnn,UA
runtime,76.01429796218872,211.52493381500244
llc_references,162093355.0560224,215064187.65625
llc_misses,9546781.792717088,144051958.4423828
instructions,4476893302.829131,18816210975.3125
cycles,2233091655.9943976,13427070551.157227
stall_cycles,363162160.61624646,5029540474.775391
intra_coh,317840.8403361345,273150.2880859375
inter_coh,87.53501400560225,0.1171875
wall_cycles,2105872474.8599439,2124882824.1113281
llc_size,96723425.88235295,161698880.0
local_mem,45404332.10084033,13918084480.0
remote_mem,943571.5406162465,41524800.0
