category,vips
runtime,15.813231945037842
llc_references,122984646.4864865
llc_misses,35150745.06756757
instructions,49180956712.83784
cycles,15992401709.864864
stall_cycles,559706712.0945946
intra_coh,1189577.7027027027
inter_coh,0.0
wall_cycles,2120831032.5675676
llc_size,171943437.83783782
local_mem,383004782.70270276
remote_mem,2541734.054054054
