category,ssd-train-vgg-gpu,ssd-eval-vgg-cpu-original
runtime,188.76122069358826,229.2760260105133
llc_references,23758803.179347828,96594487.81557745
llc_misses,3290887.0760869565,4107740.170098478
instructions,413298971.0869565,4536074256.253357
cycles,572732828.423913,3810618978.4333034
gpu_core_util,458.2336956521739,376.19964189794086
gpu_core_freq,6500.0,6500.0
gpu_emc_util,129.36413043478262,107.16651745747538
gpu_emc_freq,9330.0,9330.0
