category,ntail-sphinx,UA
runtime,27.585248947143555,31.75789523124695
llc_references,257154782.52136752,28608414.166666664
llc_misses,73006134.78632478,23233881.666666664
instructions,11121619806.324787,2265410653.888889
cycles,12583246067.692308,1323028336.1111112
stall_cycles,6309476299.316239,372319027.5
intra_coh,23575.25641025641,12671.666666666668
inter_coh,4.786324786324786,0.0
wall_cycles,2120470051.8376067,2228839557.2222223
llc_size,168147451.62393165,70578631.1111111
local_mem,4582257515.2136755,2493845048.888889
remote_mem,8472068.376068376,14490737.777777778
