category,ntail-sphinx,ssd-train-vgg-gpu
runtime,42.08014988899231,52.36549472808838
llc_references,97990329.34285714,18266380.082644626
llc_misses,29147088.028571427,3202348.5537190083
instructions,1443620008.5714288,287673800.1033058
cycles,4000985647.228571,527930189.338843
gpu_core_util,11.542857142857144,129.6900826446281
gpu_core_freq,6500.0,6500.0
gpu_emc_util,24.028571428571432,46.570247933884296
gpu_emc_freq,9330.0,9330.0
