category,bodytrack,SP
runtime,30.28236699104309,146.37194776535034
llc_references,39359923.93835616,692556414.9026425
llc_misses,6182258.082191781,369440936.14742696
instructions,25139565509.69178,28045907028.970795
cycles,11100492836.746576,16276435197.62865
stall_cycles,1186658593.4589043,5484942447.364395
intra_coh,7814843.2534246575,30951.79415855355
inter_coh,0.2054794520547945,0.11126564673157162
wall_cycles,2114244508.1849315,2103068790.3407512
llc_size,6665819.178082192,207885387.48261476
local_mem,572147235.0684931,28432547953.936024
remote_mem,23539094.79452055,84329974.7426982
