category,MG,ntail-sphinx
runtime,19.863150596618652,22.633169651031494
llc_references,468219659.7752809,196798592.47252747
llc_misses,343271240.8988764,119899188.24175823
instructions,31045581803.98876,8093885066.538462
cycles,15057735732.86517,16281227088.131868
stall_cycles,3227175004.157304,11581182608.406593
intra_coh,638188.3707865168,53369.78021978022
inter_coh,0.0,0.4395604395604396
wall_cycles,2123509333.2584271,2124664663.7362638
llc_size,137176420.67415732,75096334.06593406
local_mem,29871154164.49438,8274704991.648352
remote_mem,60131120.898876406,21367616.703296706
