category,ntail-moses,streamcluster
runtime,75.96427893638611,86.03886771202087
llc_references,26723424.271708686,257788298.11611372
llc_misses,20303214.397759106,198776180.0236967
instructions,1070265536.2324929,11679854296.718008
cycles,852091771.9887955,15811620429.810427
stall_cycles,392385832.21288514,10051877401.457346
intra_coh,615708.8235294118,15171298.74407583
inter_coh,20.910364145658264,0.31990521327014215
wall_cycles,2104700555.6302521,2104464152.5118482
llc_size,21279924.70588235,191464511.0900474
local_mem,1873901872.044818,11988612294.976303
remote_mem,36435813.1092437,7726104.265402844
