category,"GpuKMeansBatchGpu_fg_core(0,3)",GpuKMeansBatchGpu_bg_core(4-5)
runtime,61.45501899719238,61.381919384002686
llc_references,106469789.29508197,108641935.32786885
llc_misses,810315560.1967213,821927684.3770492
instructions,1850398404.6885245,1880049263.6065574
cycles,3650139150.3114753,3702354887.52459
gpu_core_util,2.19672131147541,1.8688524590163935
gpu_core_freq,1122.0,1122.0
gpu_emc_util,6.0,6.016393442622951
gpu_emc_freq,1600.0,1600.0
