category,ntail-xapian,GpuKMeansBatchCpu
runtime,36.96457815170288,47.43287754058838
llc_references,142305171.15625,51747232.91284404
llc_misses,25052765.53125,8072676.35321101
instructions,3145941661.15625,1009869433.1651376
cycles,3978457794.96875,1695385372.3394494
gpu_core_util,0.75,0.6651376146788991
gpu_core_freq,5666.21875,5871.697247706423
gpu_emc_util,29.5,25.11467889908257
gpu_emc_freq,9330.0,9330.0
