category,ntail-masstree,facesim
runtime,32.23086881637573,79.11114454269409
llc_references,7303721.366906474,192351171.64473683
llc_misses,2368774.2446043165,45612975.828947365
instructions,371915279.3884892,28996730996.934208
cycles,704801657.6978416,11879226216.407894
stall_cycles,386771886.1151079,2177761581.5
intra_coh,814149.1007194244,3173271.3552631577
inter_coh,39.74820143884892,0.881578947368421
wall_cycles,2112046940.3597121,2104224804.3026316
llc_size,66693488.34532374,180682752.0
local_mem,347362016.6906475,1182046100.2105262
remote_mem,2343265.6115107914,6105195.7894736845
