category,ntail-sphinx,kmeans
runtime,30.437241315841675,42.08532953262329
llc_references,251091723.66412216,179207695.5263158
llc_misses,50575876.67938931,19321050.184210528
instructions,10929707960.610687,13819017750.157894
cycles,11177576983.625954,9406405225.657894
stall_cycles,5056580722.748092,3581185207.631579
intra_coh,11885.381679389313,123662547.28947368
inter_coh,1.5648854961832062,0.6578947368421052
wall_cycles,2115554665.7633588,2109193632.5526314
llc_size,171756848.85496184,87728559.15789473
local_mem,1736751526.1068702,1338853914.9473684
remote_mem,5382956.946564886,4906576.842105263
