category,ssd-eval-vgg-gpu-medium,ssd-train-vgg-cpu
runtime,120.95002341270447,201.61574959754944
llc_references,64362454.561101556,78081560.41666667
llc_misses,3467406.970740103,4049081.6412601625
instructions,816358837.1342514,4911227990.543699
cycles,1469824687.048193,3979398547.901423
gpu_core_util,154.4578313253012,89.994918699187
gpu_core_freq,6500.0,6500.0
gpu_emc_util,28.734939759036145,17.91158536585366
gpu_emc_freq,9330.0,9330.0
