category,canneal,ntail-img-dnn
runtime,63.52732801437378,225.79776763916016
llc_references,65928089.66777408,46444445.76470588
llc_misses,38754255.0166113,3240452.8642533934
instructions,2092716450.9966779,1279228186.7013576
cycles,8086160235.930233,669055546.597285
stall_cycles,6728696236.544851,119116201.50226244
intra_coh,221774.73421926907,100620.30769230769
inter_coh,0.0664451827242525,85.68325791855203
wall_cycles,2104400882.69103,2100911309.1221719
llc_size,139974880.53156146,84074088.25339365
local_mem,2821345484.1196012,134755656.97737557
remote_mem,2267632.6910299007,640236.3076923076
