category,ntail-xapian,SP
runtime,46.1333429813385,148.77864575386047
llc_references,35645626.84210526,684298551.3919668
llc_misses,13323832.033492822,369765176.7382271
instructions,3959802665.4545455,27553758945.934902
cycles,3020300196.698565,16243587964.13435
stall_cycles,1188180026.626794,5631497784.259003
intra_coh,62859.11483253589,33048.55263157895
inter_coh,29.904306220095695,0.006925207756232687
wall_cycles,2109454852.248804,2103041728.1786704
llc_size,26880734.928229667,201825464.37673128
local_mem,5096316104.880383,33336668216.7313
remote_mem,31548215.119617224,97035488.08864266
