category,ntail-sphinx,UA
runtime,26.746129989624023,40.366353273391724
llc_references,257808466.91964287,27478781.187845305
llc_misses,77524698.25892857,21303216.243093923
instructions,11187267535.0,2474903416.0220995
cycles,12971844854.86607,1464958125.165746
stall_cycles,6647990258.258928,399603433.8674033
intra_coh,21445.491071428572,16500.24861878453
inter_coh,2.0535714285714284,0.027624309392265192
wall_cycles,2119063639.7767856,2110251298.922652
llc_size,158360137.14285713,71436050.38674033
local_mem,6132253257.142858,1978587961.9889503
remote_mem,18332525.714285713,13358843.756906077
