category,ntail-masstree,cfd
runtime,31.867412328720093,60.94258975982666
llc_references,7525069.6043165475,93229980.0528169
llc_misses,2367220.35971223,16221531.778169014
instructions,368773731.5107913,32367384175.915493
cycles,706354549.2446042,15932511569.436619
stall_cycles,386946578.057554,2096857169.7711267
intra_coh,1046477.4100719425,1047897.3415492958
inter_coh,36.690647482014384,0.0
wall_cycles,2114233016.5827336,2106972969.665493
llc_size,71702984.74820143,143983053.52112678
local_mem,1106528211.798561,745897753.2394366
remote_mem,7838388.489208633,2857969.577464788
