category,ntail-sphinx,UA
runtime,22.350301504135132,28.772522449493408
llc_references,206247782.41573033,27046684.60526316
llc_misses,148582205.67415732,20832669.736842107
instructions,8727104490.05618,2367831884.2105265
cycles,16124269518.146067,1404989152.1052632
stall_cycles,11046947280.11236,394070699.07894737
intra_coh,75696.34831460674,10724.736842105263
inter_coh,3.089887640449438,0.0
wall_cycles,2124828425.5056179,2347279183.0263157
llc_size,61121524.494382024,111773372.63157895
local_mem,12240810398.202248,2105395738.9473686
remote_mem,73300911.46067415,7872943.157894737
