category,ssd-train-vgg-cpu,ssd-eval-vgg-gpu-large
runtime,127.90205097198486,133.254412651062
llc_references,243134910.37216827,58027937.789968655
llc_misses,12486096.747572815,5311610.556426332
instructions,7409970333.584143,398752790.7288402
cycles,6174741914.975728,1282739085.9404387
gpu_core_util,135.55825242718447,131.6614420062696
gpu_core_freq,6500.0,6500.0
gpu_emc_util,33.44660194174757,32.83699059561128
gpu_emc_freq,9330.0,9330.0
