category,bfs,ntail-img-dnn
runtime,38.51789689064026,76.58773899078369
llc_references,9858374.366666667,161717656.1111111
llc_misses,7305040.733333333,9324417.777777778
instructions,6495610730.666667,4479056824.055555
cycles,3041327820.5333333,2227280459.208333
stall_cycles,781955550.7333333,330752611.9444444
intra_coh,1054279.2333333334,259736.9027777778
inter_coh,15.966666666666667,93.47222222222221
wall_cycles,2426057163.866667,2105171700.7361112
llc_size,69553356.8,92693390.22222222
local_mem,880017408.0,912952.8888888889
remote_mem,3975850.6666666665,36408.88888888889
