category,ntail-sphinx,SP
runtime,24.303454875946045,41.45942425727844
llc_references,261853185.45000002,59236503.358778626
llc_misses,104019859.25,35562075.53435115
instructions,11327837995.75,2946699165.4580154
cycles,14801101966.849998,1436612858.2061067
stall_cycles,8351938796.45,346675544.54198474
intra_coh,38940.4,1337.5190839694656
inter_coh,3.2,0.03816793893129771
wall_cycles,2121924913.6000001,3009414673.5496182
llc_size,145083596.8,145009656.1832061
local_mem,6201789644.8,3052394230.2290077
remote_mem,29491200.0,3316821.9847328244
