category,ssd-eval-vgg-gpu-dynamic,ssd-train-vgg-cpu
runtime,104.41882467269897,116.53712058067322
llc_references,51171676.31526104,263626191.97158083
llc_misses,4889857.901606426,13183353.685612788
instructions,400383880.2008032,7608312468.898756
cycles,1152690981.124498,6389779886.9271755
gpu_core_util,156.8574297188755,138.5701598579041
gpu_core_freq,6500.0,6500.0
gpu_emc_util,38.524096385542165,36.225577264653644
gpu_emc_freq,9330.0,9330.0
