category,ssd-eval-vgg-gpu-dynamic,ssd-train-vgg-cpu
runtime,101.79869198799133,114.90679454803467
llc_references,49880509.83436853,266620630.5135135
llc_misses,4832963.322981367,13263324.792792793
instructions,389022680.86956525,7727555076.657658
cycles,1124297252.9606626,6459061229.396397
gpu_core_util,182.00828157349895,158.7837837837838
gpu_core_freq,6500.0,6500.0
gpu_emc_util,39.23395445134575,36.4054054054054
gpu_emc_freq,9330.0,9330.0
