category,ntail-moses,cfd
runtime,76.10374212265015,118.14553332328796
llc_references,26386879.70670391,47753689.0860215
llc_misses,15476228.854748605,9336894.157706093
instructions,1053538972.9469274,16494242501.039427
cycles,824664220.4050279,8675012006.729391
stall_cycles,372299392.849162,1499491053.9964156
intra_coh,544042.7653631285,490139.86559139786
inter_coh,43.17039106145251,0.0
wall_cycles,2104851716.9134078,2146075229.8566308
llc_size,195099573.6312849,64262276.12903226
local_mem,1048791097.2067039,413109347.0967742
remote_mem,13993217.430167599,4531144.946236559
