category,ntail-moses,CG
runtime,75.89253330230713,155.4411973953247
llc_references,26515925.097765364,488369957.358871
llc_misses,15594270.740223464,101356353.77016129
instructions,1067067277.3743017,4588565099.368279
cycles,845335320.8240223,11661323271.935484
stall_cycles,386532961.75977653,8754487458.57527
intra_coh,541073.8547486033,1419677.6142473118
inter_coh,40.22346368715084,0.04704301075268817
wall_cycles,2105044531.1312847,2134839463.4005377
llc_size,195267074.86033517,116833775.48387097
local_mem,1192854968.49162,7631611265.376344
remote_mem,15966619.888268158,17363516.559139784
