category,ntail-sphinx,bfs
runtime,32.84730052947998,46.98840522766113
llc_references,261388098.23943663,6419673.596059113
llc_misses,51333008.27464789,2829997.2660098523
instructions,11276535875.880281,4680933208.078817
cycles,12287300396.830986,1974937158.7438421
stall_cycles,5929636465.0,354109335.8128079
intra_coh,8835.105633802817,157302.4630541872
inter_coh,3.345070422535211,11.280788177339902
wall_cycles,2113615667.253521,2224833004.064039
llc_size,199294052.95774645,68133227.19211823
local_mem,1112272838.3098593,291344646.3054187
remote_mem,6955123.3802816905,1615801.3793103448
