category,fluidanimate,SP
runtime,80.52003264427185,150.75332069396973
llc_references,56040971.64987406,673561060.1009421
llc_misses,48561386.96473552,367403391.6016151
instructions,22901316504.15617,27136827917.87349
cycles,15231049222.63224,16288936790.403769
stall_cycles,5081754762.455919,5825443569.495289
intra_coh,4723665.4659949625,31539.528936742936
inter_coh,0.05037783375314861,0.013458950201884253
wall_cycles,2105053692.8715367,2103231758.1493945
llc_size,20495269.722921915,198201415.66621804
local_mem,3405461034.5591936,21126027073.808884
remote_mem,35181441.61209068,66003484.253028266
